Unnamed: 0,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region,date
202,33,68,19,0.0,85.6,12.5,49.8,6.0,15.4,8.0,1,1,2012-07-08
226,35,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1.0,0,1,2012-07-26
43,34,56,17,0.1,84.7,9.7,27.3,4.7,10.3,5.2,1,0,2012-07-03
190,37,37,14,0.0,94.3,35.9,86.8,16.0,35.9,26.3,1,1,2012-08-18
10,32,55,14,0.0,89.1,25.5,88.5,7.6,29.7,13.9,1,0,2012-06-28
138,30,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,1,0,2012-06-21
153,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,1,0,2012-08-16
112,34,42,15,1.7,79.7,12.0,8.5,2.2,11.5,2.2,0,0,2012-06-30
176,37,37,13,0.0,92.5,27.2,52.4,11.7,27.1,18.4,1,1,2012-06-28
98,25,86,21,4.6,40.9,1.3,7.5,0.1,1.8,0.0,0,0,2012-09-13
152,36,55,13,0.3,82.4,15.6,92.5,3.7,22.0,6.3,1,0,2012-08-15
93,33,82,21,0.0,84.9,47.0,200.2,4.4,59.3,13.2,1,0,2012-08-27
149,31,65,18,0.0,84.3,12.5,88.7,4.8,18.5,7.3,1,0,2012-07-25
232,34,40,18,0.0,92.1,56.3,157.5,14.3,59.5,31.1,1,1,2012-08-25
113,33,48,16,0.0,87.6,7.9,17.8,6.8,7.8,6.4,1,0,2012-07-02
0,27,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0,0,2012-06-05
94,34,64,16,0.0,89.4,50.2,210.4,7.3,62.9,19.9,1,0,2012-08-28
95,29,75,16,0.0,80.8,3.4,24.0,2.8,5.1,1.7,1,0,2012-09-05
69,30,65,14,0.0,85.4,16.0,44.5,4.5,16.9,6.5,1,0,2012-09-26
49,31,71,17,0.0,87.3,46.6,99.0,6.9,46.5,16.3,1,0,2012-07-23
48,32,48,18,0.0,91.5,44.2,90.1,13.2,44.0,25.4,1,0,2012-07-22
85,32,60,18,0.3,77.1,11.3,47.0,2.2,14.1,2.6,0,0,2012-08-08
240,34,58,13,0.2,79.5,18.7,88.0,2.1,24.4,3.8,0,1,2012-09-20
141,34,53,18,0.0,89.0,21.6,80.3,9.2,25.8,15.0,1,0,2012-06-27
23,35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,0,0,2012-08-12
214,25,76,17,7.2,46.0,1.3,7.5,0.2,1.8,0.1,0,1,2012-09-01
143,29,68,19,1.0,59.9,2.5,8.6,1.1,2.9,0.4,0,0,2012-07-01
78,32,76,20,0.7,63.1,2.6,9.2,1.3,3.0,0.5,0,0,2012-07-03
100,31,55,11,0.0,87.8,16.5,57.9,5.4,19.2,8.3,1,0,2012-09-21
131,35,34,17,0.0,92.2,23.6,97.3,13.8,29.4,21.6,1,0,2012-09-21
237,30,73,14,0.0,79.2,6.5,16.6,2.1,6.6,1.2,0,1,2012-09-11
241,28,70,15,0.0,79.9,13.8,36.1,2.4,14.1,3.0,0,1,2012-09-25
6,30,89,16,0.6,37.3,1.1,7.8,0.0,1.6,0.0,0,0,2012-06-17
68,33,64,13,0.0,88.9,26.1,106.3,7.1,32.4,13.7,1,0,2012-09-22
84,34,69,13,0.0,85.0,8.2,19.8,4.0,8.2,3.9,1,0,2012-08-04
121,34,42,17,0.1,88.3,23.6,52.5,19.0,23.5,12.6,1,0,2012-08-05
227,34,59,16,0.0,88.1,19.5,47.2,7.4,19.5,10.9,1,1,2012-07-29
189,35,46,13,0.3,83.9,16.9,54.2,3.5,19.0,5.5,1,1,2012-08-15
206,36,53,19,0.0,89.2,17.1,98.6,10.0,23.9,15.3,1,1,2012-07-26
201,35,64,18,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0,1,2012-07-07
196,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0,1,2012-06-03
91,35,60,15,0.0,88.9,43.9,181.3,8.2,54.7,20.3,1,0,2012-08-25
207,35,64,17,0.0,87.2,31.9,145.7,6.8,41.2,15.7,1,1,2012-07-31
11,27,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,0,0,2012-07-02
119,37,55,15,0.0,89.3,28.3,67.2,8.3,28.3,14.5,1,0,2012-07-31
102,32,54,11,0.5,73.7,7.9,30.4,1.2,9.6,0.7,0,0,2012-09-23
35,31,54,11,0.0,82.0,6.0,16.3,2.5,6.2,1.7,0,0,2012-09-26
57,36,81,15,0.0,83.7,34.4,107.0,3.8,38.1,9.0,1,0,2012-08-20
169,29,87,15,0.4,47.4,4.2,8.0,0.2,4.1,0.1,0,1,2012-06-16
65,29,49,19,0.0,88.6,11.5,33.4,9.1,12.4,10.3,1,0,2012-09-13
1,33,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,1,0,2012-06-07
120,39,33,17,0.0,93.7,17.1,32.1,17.2,16.9,19.5,1,0,2012-08-03
198,27,84,21,1.2,50.0,6.7,17.0,0.5,6.7,0.2,0,1,2012-06-13
42,28,58,18,2.2,63.7,3.2,8.5,1.2,3.3,0.5,0,0,2012-07-01
105,29,80,14,2.0,48.7,2.2,7.6,0.3,2.6,0.1,0,0,2012-06-03
132,35,56,14,0.0,89.0,29.4,115.6,7.5,36.0,15.2,1,0,2012-09-23
210,35,55,14,0.0,88.9,18.6,67.0,7.4,21.9,11.6,1,1,2012-08-10
17,35,59,17,0.0,88.1,12.0,52.8,7.7,18.2,10.9,1,0,2012-07-19
38,35,54,11,0.1,83.7,8.4,26.3,3.1,9.3,3.1,1,0,2012-06-06
133,24,64,15,0.2,67.3,3.8,16.5,1.2,4.8,0.5,0,0,2012-09-30
53,40,31,15,0.0,94.2,22.5,46.3,16.6,22.4,21.6,1,0,2012-08-11
164,30,73,13,4.0,55.7,2.7,7.8,0.6,2.9,0.2,0,1,2012-06-02
186,30,54,14,3.1,70.5,11.0,9.1,1.3,10.5,0.8,0,1,2012-08-06
128,30,80,15,0.0,83.1,7.9,34.5,3.5,10.0,3.7,1,0,2012-09-09
34,29,57,14,0.0,89.3,12.5,41.3,7.8,14.2,9.7,1,0,2012-09-19
28,28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,0,0,2012-08-31
183,29,87,18,0.0,80.0,11.8,28.3,2.8,11.8,3.2,0,1,2012-07-27
114,34,58,18,0.0,88.0,13.6,36.8,8.0,14.1,9.9,1,0,2012-07-04
163,32,71,12,0.7,57.1,2.5,8.2,0.6,2.8,0.2,0,1,2012-06-01
151,32,69,16,0.0,86.5,15.5,48.6,5.5,17.2,8.0,1,0,2012-08-07
31,33,73,12,1.8,59.9,2.2,8.9,0.7,2.7,0.3,0,0,2012-09-10
199,31,67,17,0.1,79.1,7.0,39.5,2.4,9.7,2.3,0,1,2012-06-22
127,31,62,15,0.0,83.3,5.8,17.7,3.8,6.4,3.2,1,0,2012-09-07
185,38,52,14,0.0,78.3,4.4,10.5,2.0,4.4,0.8,0,1,2012-08-01
215,30,73,17,0.9,62.0,2.6,8.4,1.1,3.0,0.4,0,1,2012-09-08
225,34,58,16,0.0,88.1,27.8,61.1,7.3,27.7,13.0,1,1,2012-07-19
32,30,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3,0,0,2012-09-11
167,30,52,15,2.0,72.3,11.4,7.8,1.4,10.9,0.9,0,1,2012-06-13
142,32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0,0,2012-06-29
203,34,81,15,0.0,81.8,9.7,37.2,3.0,11.7,3.4,0,1,2012-07-13
147,28,76,21,0.0,72.6,7.0,25.5,0.7,8.3,0.4,0,0,2012-07-16
29,22,86,15,10.1,30.5,0.7,7.0,0.0,1.1,0.0,0,0,2012-09-02
177,35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,1,1,2012-07-06
99,28,84,18,0.0,83.8,13.5,49.3,4.5,16.0,6.3,1,0,2012-09-20
82,36,48,13,0.0,90.3,22.2,108.5,8.7,29.4,15.3,1,0,2012-07-27
239,34,44,12,0.0,92.5,25.2,63.3,11.2,26.2,17.5,1,1,2012-09-17
175,36,55,15,0.0,89.1,20.9,43.3,8.0,20.8,12.0,1,1,2012-06-27
79,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0,0,2012-07-12
197,31,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6,1,1,2012-06-11
208,35,55,12,0.4,78.0,5.8,10.0,1.7,5.5,0.8,0,1,2012-08-02
115,35,47,18,6.0,80.8,9.8,9.7,3.1,9.4,3.0,1,0,2012-07-08
148,33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4.0,1,0,2012-07-20
235,28,67,19,0.0,75.4,2.9,16.3,2.0,4.0,0.8,0,1,2012-09-02
72,29,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0,0,2012-06-01
77,33,50,14,0.0,88.7,22.9,92.8,7.2,28.3,12.9,1,0,2012-06-30
25,36,55,18,0.0,89.1,33.5,151.3,9.9,43.1,20.4,1,0,2012-08-22
165,32,60,14,0.2,77.1,6.0,17.6,1.8,6.5,0.9,0,1,2012-06-05
81,28,78,16,0.1,70.0,9.6,79.7,1.4,14.7,1.3,0,0,2012-07-24
228,34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,0,1,2012-08-07
174,35,68,16,0.0,85.3,10.0,17.0,4.9,9.9,5.3,1,1,2012-06-24
231,36,71,15,0.0,86.0,36.9,117.1,5.1,41.3,12.2,1,1,2012-08-21
39,31,42,21,0.0,90.6,18.2,30.5,13.4,18.0,16.7,1,0,2012-06-11
193,30,88,14,0.0,82.5,6.6,26.1,3.0,8.1,2.7,1,1,2012-09-08
58,37,53,14,0.0,89.5,41.1,127.5,8.0,45.5,18.1,1,0,2012-08-22
140,31,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4,1,0,2012-06-25
88,36,54,18,0.0,89.4,20.0,110.9,9.7,27.5,16.1,1,0,2012-08-18
216,24,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0.0,0,1,2012-09-15
70,28,87,15,4.4,41.1,6.5,8.0,0.1,6.2,0.0,0,0,2012-09-27
87,35,63,13,0.0,88.9,21.7,77.0,7.1,25.5,12.1,1,0,2012-08-11
36,31,66,11,0.0,85.7,8.3,24.9,4.0,9.0,4.1,1,0,2012-09-27
21,34,65,13,0.0,86.8,11.1,29.7,5.2,11.5,6.1,1,0,2012-08-05
211,33,66,14,0.0,87.0,21.7,94.7,5.7,27.2,10.6,1,1,2012-08-14
9,31,64,18,0.0,86.8,17.8,71.8,6.7,21.6,10.6,1,0,2012-06-26
103,29,65,19,0.6,68.3,5.5,15.2,1.5,5.8,0.7,0,0,2012-09-24
195,26,49,6,2.0,61.3,11.9,28.1,0.6,11.9,0.4,0,1,2012-09-24
67,36,33,13,0.1,90.6,25.8,77.8,9.0,28.2,15.4,1,0,2012-09-18
192,34,49,15,0.0,89.2,24.8,159.1,8.1,35.7,16.0,1,1,2012-08-30
117,39,45,13,0.6,85.2,11.3,10.4,4.2,10.9,4.7,1,0,2012-07-13
47,36,50,16,0.0,89.9,32.7,71.0,9.5,32.6,17.3,1,0,2012-07-20
172,32,55,14,0.0,86.2,8.3,18.4,5.0,8.2,4.9,1,1,2012-06-21
